site,pubs,hits,weighted_score,pre-2010,2010-2014,2015-2019,2020-2026,lat,lon,feature_type,files
Cordillera de Domeyko,26,72,38.13,3,1,1,0,-23.45961,-68.70032,T.MTS,At1Sim1_005_González et al_Magmatismo Paleozoico Superior - Triásico|At1Sim1_012_Contreras et al_Depósitos volcánicos-piroclásticos Cordillera de Domeyko|At1Sim1_014_Alfaro et al_Formación Cerro Guanaco|At1St1_020_Jovic et al_Estructura depósito Guanaco|At1St1_036_Rubilar et al_Cordillera de la Sal|At1St1_040_González et al_Análisis de rasgos topográficos
Navidad,19,59,28.99,0,7,1,0,-33.95146,-71.81791,T.HLL,Primer simposio geopatrimonio|Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|At1St1_022_Benitez y Winocur_Faja plegada y corrida Malargüe|At1St1_023_Becerra et al_Slope morphology + obs CM|At1St2_007_Carrasco et al_Sismicidad Navidad + obs CM|At1St2_034_Valenzuela y Ruiz_Enjambres sísmicos zona  Central
Laguna del Maule,19,55,27.34,0,1,2,1,-36.06103,-70.49592,H.LK,Actas III Simposio geoparques y geoturismo Chile|At1St1_064_Tassara et al_Andes del Sur|At1St3_008_Diaz y Heise_Geofísica volcán Lastarria + obs CM 2|At1St3_026_Salas et al_Los Hornitos mafic cones|At1St3_032_Díaz et al_Complejo volcánico Laguna del Maule|At1St3_053_Cáceres et al_Campo Volcánico Laguna del Maule
Sierra de Varas,15,94,18.05,2,0,0,0,-24.88387,-69.153,T.MTS,"At1Sim1_004_Espinoza et al_Late Triassic Early Jurrasic basins + obs CM|At1Sim1_005_González et al_Magmatismo Paleozoico Superior - Triásico|At1Sim1_009_Montecino et al_Cuenca El Profeta + obs CM|At1Sim1_010_Oliveros et al_Lithospheric loss in the Andean margin during the Triassic|At1Sim1_011_Oliveros et al_Unidades del Triásico superior, norte de Chile + obs CM|At1Sim1_012_Contreras et al_Depósitos volcánicos-piroclásticos Cordillera de Domeyko"
Isla Grande,5,6,13.32,2,1,0,1,-55.16501,-68.74142,T.ISL,Actas III Simposio geoparques y geoturismo Chile|openalex_andean_geology_2008_10.4067_s0716-02082008000100003|openalex_andean_geology_2008_10.5027_andgeov35n1-a03|openalex_andean_geology_2014_10.5027_andgeov41n2-a02|openalex_quaternary_sci_rev_2021_10.1016_j.quascirev.2021.107301
Escondida,12,28,11.69,0,1,0,0,-26.63069,-70.59836,H.SPNG,"At1St1_020_Jovic et al_Estructura depósito Guanaco|At1St1_041_Gonzalez et al_Estructuras en Sierras de Varas y Sierra Argomedo|At2Sim11_002_Alvarez et al_Tracing paleofluids|At2Sim11_004_Reich et al_Supergene metal deposits|At2Sim11_007_Viry et al_Exotic copper deposits|At2Sim2_010_Gallardo et al_Cerro Moro, Argentina"
Rinconada,8,14,11.32,0,0,2,0,-33.9,-71.36667,T.HLL,Actas III Simposio geoparques y geoturismo Chile|At1St1_021_Selles et al_Carta geológica área Pampa Lirima-Cancosa|At1St2_018_Costa_Andean thrust front in Argentina|At1St3_014_Ferrada et al_Intrusivos hipabisales Cajón de Los Valles|At1St3_056_Hurtado et al_Hoyas del Lontué y Upeo|At1St3_079_Gardeweg et al_Ignimbritas Tambillo y Huasco
Bahía Inglesa,10,24,11.08,0,0,1,0,-27.11618,-70.88366,H.BAY,Primer simposio geopatrimonio|Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|Actas III Simposio geoparques y geoturismo Chile|At4Sim5_010_Vega et al_Patrimonio Paleontológico|At5Sim10_009_Otero et al_Cartilaginous fishes|At5St14_003_Oyanadel et al_Nuevas familias de peces
Romero,11,21,11.0,0,0,0,0,-27.39877,-69.84032,H.SPNG,GGN18_Abstract_Book_final|At1St1_029_Ramos_Orogenia Famatiniana|At1St3_046_Leisen et al_Geocronología U-Pb de Circones|At1St3_060_Luro et al_Centros eruptivos monogenéticos alcalinos|At1St3_068_Bosch et al_Tephrochronology of Mendoza Province|At1St4_006_López et al_Formación Marcavilca
Algarrobo,11,18,11.0,0,0,0,0,-23.69772,-68.00535,H.SPNG,At1St1_023_Becerra et al_Slope morphology + obs CM|At1St3_020_Selles et al_Magmatismo Franja Ferrifera|At1St4_002_Salazar_et_al_Stratigraphy Quiriquina Formation|At2Sim3_001_Palma et al_Química mineral apatitos|At2Sim3_003_Reich et al_Genetic link between IOA and IOCG deposits|At2Sim3_004_Selles et al_Metasomatismo cálcico Franja Ferrífera
