site,pubs,lat,lon,type,files
King George Island,40,-62.0051389,-58.2866944,Island,ATCM39_ATT042_2016_Geoconservation_Attachment|POLAR2018_PolarExpo_posters|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|SCAR_ResearchDay_2016_abstracts|openalex_advances_polar_sci_2011_10.3724_sp.j.1085.2011.00118|openalex_advances_polar_sci_2015_10.13679_j.advps.2015.1.00080|openalex_advances_polar_sci_2015_W2911944979|openalex_antarctic_science_2010_10.1017_s0954102010000106|openalex_antarctic_science_2010_10.1017_s0954102010000179|openalex_antarctic_science_2011_10.1017_s0954102010000970|openalex_antarctic_science_2011_10.1017_s095410201100006x|openalex_antarctic_science_2011_10.1017_s0954102011000137|openalex_antarctic_science_2011_10.1017_s0954102011000563|openalex_antarctic_science_2012_10.1017_s0954102012000260|openalex_antarctic_science_2013_10.1017_s0954102013000552|openalex_antarctic_science_2013_10.1017_s0954102013000771|openalex_antarctic_science_2014_10.1017_s0954102013000783|openalex_antarctic_science_2014_10.1017_s095410201400056x|openalex_antarctic_science_2015_10.1017_s0954102015000127|openalex_antarctic_science_2016_10.1017_s0954102016000262|openalex_antarctic_science_2017_10.1017_s095410201600064x|openalex_antarctic_science_2017_10.1017_s095410201700030x|openalex_antarctic_science_2018_10.1017_s095410201800024x|openalex_antarctic_science_2021_10.1017_s0954102021000213|openalex_antarctic_science_2021_10.1017_s095410202100033x|openalex_antarctic_science_2021_10.1017_s0954102021000419|openalex_antarctic_science_2022_10.1017_s0954102021000560|openalex_antarctic_science_2022_10.1017_s0954102021000614|openalex_antarctic_science_2024_10.1017_s0954102024000294|openalex_antarctic_science_2025_10.1017_s0954102025000173|openalex_antarctic_science_2025_10.1017_s0954102025100333|openalex_antarctic_science_2026_10.1017_s0954102026100595|openalex_polar_record_2019_10.1017_s0032247419000469|openalex_polar_science_2018_10.1016_j.polar.2018.02.005
South Shetland Islands,36,-62.0,-58.0,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2015_10.13679_j.advps.2015.1.00107|openalex_antarctic_science_2010_10.1017_s0954102010000106|openalex_antarctic_science_2011_10.1017_s0954102011000393|openalex_antarctic_science_2011_10.1017_s0954102011000563|openalex_antarctic_science_2011_10.1017_s0954102011000794|openalex_antarctic_science_2012_10.1017_s0954102012000193|openalex_antarctic_science_2012_10.1017_s0954102012000314|openalex_antarctic_science_2013_10.1017_s0954102012000788|openalex_antarctic_science_2013_10.1017_s0954102012001058|openalex_antarctic_science_2013_10.1017_s0954102013000771|openalex_antarctic_science_2015_10.1017_s0954102015000346|openalex_antarctic_science_2016_10.1017_s0954102015000681|openalex_antarctic_science_2016_10.1017_s0954102016000262|openalex_antarctic_science_2018_10.1017_s095410201800024x|openalex_antarctic_science_2021_10.1017_s0954102021000213|openalex_antarctic_science_2021_10.1017_s095410202100033x|openalex_antarctic_science_2023_10.1017_s095410202300010x|openalex_antarctic_science_2023_10.1017_s0954102023000111|openalex_antarctic_science_2024_10.1017_s0954102024000154|openalex_antarctic_science_2025_10.1017_s0954102025000124|openalex_antarctic_science_2025_10.1017_s0954102025000185|openalex_antarctic_science_2025_10.1017_s0954102025100151|openalex_antarctic_science_2025_10.1017_s095410202510028x|openalex_antarctic_science_2025_10.1017_s0954102025100333|openalex_antarctic_science_2026_10.1017_s0954102026100583|openalex_antarctic_science_2026_10.1017_s0954102026100595|openalex_polar_record_2019_10.1017_s0032247419000469|openalex_polar_record_2021_10.1017_s0032247421000152|openalex_polar_science_2018_10.1016_j.polar.2018.02.005
Transantarctic Mountains,27,-85.0,-175.0,Mountain,ATCM39_IP031_2016_Antarctic_Geoconservation_Review|ATCM43_Att-A_2021_Method_Identification_Antarctic_Geological_Sites|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2019_10.13679_j.advps.2019.1.00052|openalex_antarctic_science_2010_10.1017_s0954102010000167|openalex_antarctic_science_2010_10.1017_s0954102010000799|openalex_antarctic_science_2010_10.1017_s0954102010000866|openalex_antarctic_science_2011_10.1017_s0954102011000241|openalex_antarctic_science_2011_10.1017_s0954102011000460|openalex_antarctic_science_2013_10.1017_s0954102013000072|openalex_antarctic_science_2013_10.1017_s0954102013000461|openalex_antarctic_science_2013_10.1017_s0954102013000746|openalex_antarctic_science_2014_10.1017_s0954102014000261|openalex_antarctic_science_2014_10.1017_s0954102014000315|openalex_antarctic_science_2016_10.1017_s0954102016000456|openalex_antarctic_science_2020_10.1017_s0954102020000346|openalex_antarctic_science_2022_10.1017_s0954102022000013|openalex_antarctic_science_2024_10.1017_s0954102024000348|openalex_antarctic_science_2026_10.1017_s0954102026100613|openalex_polar_record_2012_10.1017_s0032247412000393|openalex_polar_science_2021_10.1016_j.polar.2021.100725
Deception Island,25,-62.95,-60.633,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|SCAR_ResearchDay_2016_abstracts|openalex_antarctic_science_2011_10.1017_s095410201100006x|openalex_antarctic_science_2011_10.1017_s0954102011000393|openalex_antarctic_science_2011_10.1017_s0954102011000794|openalex_antarctic_science_2012_10.1017_s0954102012000193|openalex_antarctic_science_2012_10.1017_s0954102012000314|openalex_antarctic_science_2013_10.1017_s0954102013000758|openalex_antarctic_science_2016_10.1017_s0954102015000681|openalex_antarctic_science_2017_10.1017_s0954102017000360|openalex_antarctic_science_2017_10.1017_s0954102017000463|openalex_antarctic_science_2024_10.1017_s0954102024000099|openalex_antarctic_science_2025_10.1017_s0954102025000100|openalex_antarctic_science_2025_10.1017_s0954102025000124|openalex_antarctic_science_2025_10.1017_s0954102025100151|openalex_antarctic_science_2025_10.1017_s0954102025100230|openalex_antarctic_science_2026_10.1017_s0954102025100503|openalex_polar_record_2019_10.1017_s0032247419000469|openalex_polar_record_2021_10.1017_s0032247421000152
Prydz Bay,23,-69.0,76.0,Bay,ATCM39_ATT042_2016_Geoconservation_Attachment|ATCM39_IP031_2016_Antarctic_Geoconservation_Review|Geosite_GF1_Shcherbinina_Layered_Complex|Geosite_GF1_Torckler-Tang|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2011_10.3724_sp.j.1085.2011.00049|openalex_advances_polar_sci_2012_10.3724_sp.j.1085.2012.00225|openalex_advances_polar_sci_2013_10.3724_sp.j.1085.2013.00113|openalex_advances_polar_sci_2013_10.3724_sp.j.1085.2013.00153|openalex_advances_polar_sci_2017_10.13679_j.advps.2017.4.00256|openalex_advances_polar_sci_2018_10.13679_j.advps.2018.2.00135|openalex_antarctic_science_2010_10.1017_s0954102010000830|openalex_antarctic_science_2015_10.1017_s0954102015000498|openalex_antarctic_science_2023_10.1017_s0954102023000159|openalex_polar_science_2018_10.1016_j.polar.2018.06.002|openalex_polar_science_2023_10.1016_j.polar.2023.101015|openalex_polar_science_2025_10.1016_j.polar.2025.101346
Seymour Island,23,-64.2833333,-56.75,Island,ATCM39_ATT042_2016_Geoconservation_Attachment|ATCM43_Att-A_2021_Method_Identification_Antarctic_Geological_Sites|ISAES_2025_EG-GEOCON|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2019_10.13679_j.advps.2019.0015|openalex_antarctic_science_2012_10.1017_s095410201200020x|openalex_antarctic_science_2012_10.1017_s0954102012000247|openalex_antarctic_science_2012_10.1017_s0954102012000430|openalex_antarctic_science_2012_10.1017_s095410201200079x|openalex_antarctic_science_2016_10.1017_s0954102016000365|openalex_antarctic_science_2017_10.1017_s0954102017000244|openalex_antarctic_science_2017_10.1017_s0954102017000335|openalex_antarctic_science_2019_10.1017_s095410201800055x|openalex_antarctic_science_2019_10.1017_s0954102019000294|openalex_antarctic_science_2020_10.1017_s0954102020000516|openalex_antarctic_science_2026_10.1017_s0954102025100540|openalex_polar_record_2017_10.1017_s0032247417000249
Livingston Island,19,-62.6,-60.5,Island,ATCM39_ATT042_2016_Geoconservation_Attachment|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2013_10.1017_s0954102012000776|openalex_antarctic_science_2013_10.1017_s0954102012000788|openalex_antarctic_science_2013_10.1017_s0954102012000831|openalex_antarctic_science_2013_10.1017_s0954102012000922|openalex_antarctic_science_2013_10.1017_s0954102012001058|openalex_antarctic_science_2013_10.1017_s0954102012001228|openalex_antarctic_science_2013_10.1017_s095410201300076x|openalex_antarctic_science_2016_10.1017_s0954102015000681|openalex_antarctic_science_2025_10.1017_s0954102025000185|openalex_antarctic_science_2025_10.1017_s095410202510028x|openalex_antarctic_science_2026_10.1017_s0954102026100583
Vestfold Hills,19,-68.55,78.25,Hill,ATCM39_IP031_2016_Antarctic_Geoconservation_Review|Geosite_GF1_Shcherbinina_Layered_Complex|Geosite_GF1_Taynaya_Paragneiss|Geosite_GF1_Torckler-Tang|ISAES_2025_EG-GEOCON|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2015_10.1017_s0954102015000371|openalex_antarctic_science_2024_10.1017_s0954102023000408|openalex_antarctic_science_2024_10.1017_s0954102024000282|openalex_antarctic_science_2025_10.1017_s0954102025100254|openalex_antarctic_science_2025_10.1017_s0954102025100345|openalex_polar_science_2023_10.1016_j.polar.2023.101004|openalex_polar_science_2023_10.1016_j.polar.2023.101015
Fildes Peninsula,18,-62.1821389,-58.9481389,Peninsula,ATCM39_ATT042_2016_Geoconservation_Attachment|ATCM39_IP031_2016_Antarctic_Geoconservation_Review|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2011_10.3724_sp.j.1085.2011.00118|openalex_advances_polar_sci_2015_10.13679_j.advps.2015.1.00080|openalex_advances_polar_sci_2015_10.13679_j.advps.2015.4.00274|openalex_advances_polar_sci_2015_W2911944979|openalex_antarctic_science_2011_10.1017_s0954102011000563|openalex_antarctic_science_2012_10.1017_s0954102012000260|openalex_antarctic_science_2013_10.1017_s0954102013000771|openalex_antarctic_science_2015_10.1017_s0954102015000127|openalex_antarctic_science_2017_10.1017_s095410201700030x
James Ross Island,18,-64.15,-57.75,Island,ATCM39_ATT042_2016_Geoconservation_Attachment|ATCM39_IP031_2016_Antarctic_Geoconservation_Review|ATCM43_Att-A_2021_Method_Identification_Antarctic_Geological_Sites|POLAR2018_PolarExpo_posters|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2011_10.1017_s0954102010000842|openalex_antarctic_science_2012_10.1017_s0954102012000934|openalex_antarctic_science_2013_10.1017_s095410201300076x|openalex_antarctic_science_2014_10.1017_s0954102014000819|openalex_antarctic_science_2019_10.1017_s0954102019000178|openalex_antarctic_science_2021_10.1017_s0954102021000389|openalex_antarctic_science_2024_10.1017_s0954102024000154
